Senapathi | 2021 | 7 | 0 | 145 | 34 | 6 | 1 | 6 | 34 | 1
Bhamakalapam | 2022 | 7 | 0 | 125 | 35 | 6 | 1 | 3 | 35 | 1
Bloody Mary | 2022 | 6 | 0 | 105 | 36 | 6 | 1 | 6 | 36 | 1
Highway | 2022 | 6 | 0 | 138 | 37 | 6 | 1 | 10 | 37 | 1
Rathasaatchi | 2022 | 7 | 0 | 150 | 38 | 6 | 1 | 1 | 38 | 1
Sathi Gani Rendu Ekaralu | 2023 | 7 | 0 | 127 | 39 | 6 | 1 | 7 | 38 | 1
Sevappi | 2024 | 6 | 0 | 110 | 40 | 6 | 1 | 10 | 38 | 1
Bhamakalapam 2 | 2024 | 7 | 0 | 130 | 41 | 6 | 1 | 3 | 39 | 1
Mix Up | 2024 | 7 | 0 | 100 | 42 | 6 | 1 | 7 | 40 | 1
Stranger Things | 2016 | 9 | 5 | 600 | 43 | 1 | 3 | 2 | 41 | 2
The Witcher | 2019 | 8 | 3 | 520 | 44 | 1 | 3 | 11 | 42 | 2
Money Heist | 2017 | 8 | 5 | 600 | 45 | 1 | 4 | 10 | 43 | 2
Bridgerton | 2020 | 7 | 2 | 450 | 46 | 1 | 3 | 5 | 44 | 2
The Crown | 2016 | 9 | 6 | 600 | 47 | 1 | 3 | 7 | 45 | 2
Narcos | 2015 | 9 | 3 | 650 | 48 | 1 | 4 | 10 | 46 | 2
The Umbrella Academy | 2019 | 8 | 3 | 500 | 49 | 1 | 3 | 1 | 47 | 2
Ozark | 2017 | 9 | 4 | 600 | 50 | 1 | 3 | 6 | 48 | 2
Squid Game | 2021 | 8 | 1 | 540 | 51 | 1 | 7 | 6 | 49 | 2
Tiger King | 2020 | 8 | 2 | 300 | 52 | 1 | 3 | 12 | 50 | 2
Mirzapur | 2018 | 9 | 3 | 500 | 53 | 2 | 2 | 1 | 51 | 2
The Boys | 2019 | 9 | 4 | 600 | 54 | 2 | 3 | 13 | 52 | 2
LOL: Last One Laughing | 2020 | 7 | 2 | 450 | 55 | 2 | 4 | 3 | 53 | 2
Breathe: Into the Shadows | 2020 | 8 | 2 | 480 | 56 | 2 | 2 | 6 | 54 | 2
Dark Woods | 2020 | 7 | 1 | 500 | 57 | 2 | 3 | 10 | 55 | 2
The Family Man | 2019 | 9 | 2 | 450 | 58 | 2 | 2 | 1 | 56 | 2
El Presidente | 2020 | 7 | 1 | 450 | 59 | 2 | 4 | 7 | 57 | 2
Paatal Lok | 2020 | 8 | 1 | 400 | 60 | 2 | 2 | 10 | 58 | 2
Bang Bang Baby | 2022 | 7 | 1 | 400 | 61 | 2 | 8 | 6 | 59 | 2
Euphoria | 2019 | 8 | 2 | 500 | 62 | 3 | 3 | 6 | 60 | 2
Succession | 2018 | 9 | 4 | 540 | 63 | 3 | 3 | 3 | 61 | 2
The Last of Us | 2023 | 9 | 1 | 600 | 64 | 3 | 3 | 10 | 62 | 2
Westworld | 2016 | 9 | 4 | 300 | 65 | 3 | 3 | 1 | 63 | 2
Hacks | 2021 | 8 | 2 | 300 | 66 | 3 | 3 | 7 | 64 | 2
Barry | 2018 | 8 | 4 | 480 | 67 | 3 | 3 | 5 | 65 | 2
Mare of Easttown | 2021 | 9 | 1 | 480 | 68 | 3 | 3 | 10 | 66 | 2
Watchmen | 2019 | 8 | 1 | 300 | 69 | 3 | 3 | 1 | 67 | 2
Chernobyl | 2019 | 9 | 1 | 600 | 70 | 3 | 3 | 7 | 68 | 2
The Handmaid's Tale | 2017 | 8 | 5 | 300 | 71 | 4 | 3 | 7 | 69 | 2
Only Murders in the Building | 2021 | 8 | 3 | 300 | 72 | 4 | 3 | 3 | 70 | 2
The Bear | 2022 | 8 | 2 | 240 | 73 | 4 | 3 | 7 | 71 | 2
Castle Rock | 2018 | 8 | 2 | 320 | 74 | 4 | 3 | 6 | 72 | 2
Ramy | 2019 | 8 | 3 | 240 | 75 | 4 | 3 | 3 | 73 | 2
Pen15 | 2019 | 8 | 2 | 350 | 76 | 4 | 3 | 3 | 74 | 2
Solar Opposites | 2020 | 8 | 4 | 360 | 77 | 4 | 3 | 9 | 75 | 2
Shrill | 2019 | 7 | 3 | 300 | 78 | 4 | 3 | 3 | 76 | 2
The Mandalorian | 2019 | 9 | 3 | 300 | 79 | 5 | 3 | 1 | 77 | 2
WandaVision | 2021 | 8 | 1 | 240 | 80 | 5 | 3 | 1 | 78 | 2
Loki | 2021 | 8 | 2 | 240 | 81 | 5 | 3 | 1 | 79 | 2
The Falcon and the Winter Soldier | 2021 | 8 | 1 | 450 | 82 | 5 | 3 | 1 | 80 | 2
Star Wars: The Bad Batch | 2021 | 8 | 2 | 600 | 83 | 5 | 3 | 9 | 81 | 2
The Book of Boba Fett | 2021 | 7 | 1 | 520 | 84 | 5 | 3 | 1 | 82 | 2
High School Musical: The Musical: The Series | 2019 | 8 | 4 | 600 | 85 | 5 | 3 | 7 | 83 | 2
In the Name of God | 2021 | 8 | 1 | 450 | 86 | 6 | 7 | 6 | 84 | 2
Kudi Yedamaithe | 2021 | 8 | 1 | 600 | 87 | 6 | 1 | 6 | 85 | 2
Irai | 2021 | 8 | 1 | 650 | 88 | 6 | 9 | 6 | 80 | 2
Anya's Tutorial | 2021 | 8 | 1 | 500 | 89 | 6 | 3 | 6 | 86 | 2
Agent Anand Santosh | 2021 | 7 | 0 | 600 | 90 | 6 | 1 | 3 | 87 | 2
Good Night Oppy | 2022 | 8 | 0 | 105 | 91 | 3 | 3 | 12 | 88 | 3
The Janes | 2022 | 8 | 0 | 101 | 92 | 5 | 3 | 12 | 38 | 3
Fire of Love | 2022 | 8 | 0 | 93 | 93 | 1 | 3 | 12 | 38 | 3
The Tinder Swindler | 2022 | 7 | 0 | 114 | 94 | 4 | 3 | 12 | 89 | 3
Summer of Soul (...Or, When the Revolution Could Not Be Televised) | 2021 | 8 | 0 | 117 | 95 | 1 | 3 | 12 | 90 | 3
The Deepest Breath | 2023 | 8 | 0 | 101 | 96 | 3 | 3 | 12 | 91 | 3
Navalny | 2022 | 8 | 0 | 98 | 97 | 1 | 3 | 12 | 92 | 3
The Social Dilemma | 2020 | 8 | 0 | 94 | 98 | 1 | 3 | 12 | 93 | 3
My Octopus Teacher | 2020 | 8 | 0 | 85 | 99 | 5 | 3 | 12 | 94 | 3
The Beatles: Get Back | 2021 | 9 | 0 | 468 | 100 | 1 | 3 | 12 | 95 | 3
Three Identical Strangers | 2018 | 8 | 0 | 96 | 101 | 1 | 3 | 12 | 96 | 3
The Most Hated Man on the Internet | 2022 | 7 | 0 | 220 | 102 | 3 | 3 | 12 | 97 | 3
Stax: Soulsville U.S.A. | 2024 | 0 | 0 | 226 | 103 | 5 | 3 | 12 | 98 | 3
The Beach Boys | 2024 | 0 | 0 | 225 | 104 | 2 | 3 | 12 | 99 | 3
The Act of Killing | 2012 | 8 | 0 | 159 | 105 | 2 | 3 | 12 | 100 | 3
Amy | 2015 | 8 | 0 | 128 | 106 | 1 | 3 | 12 | 101 | 3
The Staircase | 2018 | 8 | 0 | 318 | 107 | 1 | 3 | 12 | 102 | 3
Disclosure | 2020 | 8 | 0 | 107 | 108 | 1 | 3 | 12 | 38 | 3
The Speed Cubers | 2020 | 7 | 0 | 40 | 109 | 1 | 3 | 12 | 38 | 3
American Nightmare | 2024 | 0 | 0 | 255 | 110 | 1 | 3 | 12 | 103 | 3
RRR | 2022 | 9 | NULL | 187 | 111 | 3 | 1 | 1 | 48 | 1
Devara | 2025 | 8 | NULL | 150 | 113 | 1 | 1 | 2 | 10 | 1
Baahubali 2 | 2017 | 9 | NULL | 167 | 114 | 1 | 1 | 2 | 5 | 1
Baahubali 2 | 2017 | 9 | NULL | 167 | 115 | 1 | 1 | 2 | 5 | 1
